category	number
Arlington	289
Fairfax	37
McLean	57
Tysons Corner	72
Falls Church	129
Annandale	22
Alexandria	43
Vienna	85
Oakton	51
Sterling	47
Herndon	112
Chantilly	44
Reston	97
