Category	number
Baltimore	8
Germantown	2
Gaithersburg	3
Rockville	11
Bethesda	6
Silver Spring	7
Takoma Park	5
Hyattsville	4
College Park	4
Sutland	1
Lanham	3
Greenbelt	3
