category	number
Arlington	58
Fairfax	10
McLean	20
Tysons Corner	22
Falls Church	36
Annandale	4
Alexandria	11
Vienna	29
Oakton	15
Sterling	29
Herndon	60
Chantilly	23
Reston	51
